PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=260 ttl=64 time=1339 ms
64 bytes from 10.0.0.4: icmp_seq=261 ttl=64 time=1364 ms
64 bytes from 10.0.0.4: icmp_seq=262 ttl=64 time=1371 ms
64 bytes from 10.0.0.4: icmp_seq=263 ttl=64 time=1403 ms
64 bytes from 10.0.0.4: icmp_seq=264 ttl=64 time=1319 ms
64 bytes from 10.0.0.4: icmp_seq=265 ttl=64 time=1335 ms
64 bytes from 10.0.0.4: icmp_seq=266 ttl=64 time=1120 ms
64 bytes from 10.0.0.4: icmp_seq=267 ttl=64 time=702 ms
64 bytes from 10.0.0.4: icmp_seq=268 ttl=64 time=908 ms
64 bytes from 10.0.0.4: icmp_seq=269 ttl=64 time=1194 ms
64 bytes from 10.0.0.4: icmp_seq=270 ttl=64 time=1317 ms
64 bytes from 10.0.0.4: icmp_seq=271 ttl=64 time=1298 ms
64 bytes from 10.0.0.4: icmp_seq=272 ttl=64 time=1415 ms
64 bytes from 10.0.0.4: icmp_seq=273 ttl=64 time=1397 ms
64 bytes from 10.0.0.4: icmp_seq=274 ttl=64 time=1411 ms
64 bytes from 10.0.0.4: icmp_seq=275 ttl=64 time=1415 ms
64 bytes from 10.0.0.4: icmp_seq=276 ttl=64 time=1329 ms
64 bytes from 10.0.0.4: icmp_seq=277 ttl=64 time=1335 ms
64 bytes from 10.0.0.4: icmp_seq=278 ttl=64 time=1350 ms
64 bytes from 10.0.0.4: icmp_seq=279 ttl=64 time=1001 ms
64 bytes from 10.0.0.4: icmp_seq=280 ttl=64 time=703 ms
64 bytes from 10.0.0.4: icmp_seq=281 ttl=64 time=1039 ms
64 bytes from 10.0.0.4: icmp_seq=282 ttl=64 time=1213 ms
64 bytes from 10.0.0.4: icmp_seq=283 ttl=64 time=1360 ms
64 bytes from 10.0.0.4: icmp_seq=284 ttl=64 time=1308 ms
64 bytes from 10.0.0.4: icmp_seq=285 ttl=64 time=1354 ms
64 bytes from 10.0.0.4: icmp_seq=286 ttl=64 time=1367 ms
64 bytes from 10.0.0.4: icmp_seq=287 ttl=64 time=1366 ms
64 bytes from 10.0.0.4: icmp_seq=288 ttl=64 time=1377 ms
64 bytes from 10.0.0.4: icmp_seq=289 ttl=64 time=1371 ms
64 bytes from 10.0.0.4: icmp_seq=290 ttl=64 time=1307 ms
64 bytes from 10.0.0.4: icmp_seq=291 ttl=64 time=1343 ms
64 bytes from 10.0.0.4: icmp_seq=292 ttl=64 time=868 ms
64 bytes from 10.0.0.4: icmp_seq=293 ttl=64 time=703 ms
64 bytes from 10.0.0.4: icmp_seq=294 ttl=64 time=1116 ms
64 bytes from 10.0.0.4: icmp_seq=295 ttl=64 time=1251 ms
64 bytes from 10.0.0.4: icmp_seq=296 ttl=64 time=1385 ms
64 bytes from 10.0.0.4: icmp_seq=297 ttl=64 time=1306 ms
64 bytes from 10.0.0.4: icmp_seq=298 ttl=64 time=1364 ms
64 bytes from 10.0.0.4: icmp_seq=299 ttl=64 time=1376 ms
64 bytes from 10.0.0.4: icmp_seq=300 ttl=64 time=2137 ms

--- 10.0.0.4 ping statistics ---
300 packets transmitted, 300 received, 0% packet loss, time 866ms
rtt min/avg/max/mdev = 29.256/1023.462/2137.101/305.953 ms, pipe 2
